Date: Sun, Apr 05, 2020 3:22 PM; User: wsLu; Sample: 59BBN1_IVcZF

Force G mode: None
Force S mode: AWG:IDC	Force S Rser (Max I): 100Mohm - 20nA
Attn: 1.000000E+0; DL1201 gain: 100; Voff (V): 0.000000E+0;
I bias (A): 1.000000E-10 Coil range (A): 2.000000E-3; Coil factor (G/A): 580

Sense mode: HP:IDC/DL1201; DUT Z setting: >10Gohm
tf stb (ms): 500; ts stb (ms): 50; ts itr (ms): 10; #s itr: 1

SetpG file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\MRmL0d96mA-P0d68t0d96mS5u_57d.txt
SetpS file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\IVnR10nA_PN10nS100p_400d.txt

Note:
1. Pin assignment:4ba,3ab (actual name: 59BBN8)
2. HP34401 fast 6 digit
3. DL1201 preamp, HPF DC, LPF 3Hz; DC coupled, line power



!DATASTR!
Time	T1	T2	T5	T6	T8	IG	IS	V1	SD1	V2	SD2	Rcali
(min)	(K)	(K)	(K)	(K)	(K)	(A)	(A)	(V)	(V)	(V)	(V)	(ohm)
1.03839E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.53360E-2	1.73200E+0	0.00000E+0	-4.76189E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.05184E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.53649E-2	1.73200E+0	1.00000E-10	-4.68805E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
5.00529E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.53832E-2	1.73200E+0	2.00000E-10	2.95162E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
6.78039E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.55366E-2	1.73200E+0	3.00000E-10	4.73748E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
8.53382E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.52110E-2	1.73200E+0	4.00000E-10	4.74469E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.04089E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.52102E-2	1.73200E+0	5.00000E-10	4.74701E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.21807E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.53650E-2	1.73200E+0	6.00000E-10	4.74870E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.39791E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.52911E-2	1.73200E+0	7.00000E-10	4.75019E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.57692E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.52928E-2	1.73200E+0	8.00000E-10	4.75206E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.76310E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.52829E-2	1.73200E+0	9.00000E-10	4.75328E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.95211E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.51383E-2	1.73200E+0	1.00000E-9	4.75361E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.14462E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.53443E-2	1.73200E+0	1.10000E-9	4.75467E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.32280E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.51786E-2	1.73200E+0	1.20000E-9	4.75549E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
