Date: Sun, Apr 05, 2020 3:00 PM; User: wsLu; Sample: 59BBN1_IVfFF

Force G mode: None
Force S mode: AWG:IDC	Force S Rser (Max I): 1Gohm - 2nA
Attn: 9.600000E-4; DL1201 gain: 100; Voff (V): 0.000000E+0;
I bias (A): 1.000000E-10 Coil range (A): 2.000000E-3; Coil factor (G/A): 580

Sense mode: HP:IDC/DL1201; DUT Z setting: >10Gohm
tf stb (ms): 500; ts stb (ms): 50; ts itr (ms): 10; #s itr: 1

SetpG file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\MRmL0d96mA-P0d68t0d96mS5u_57d.txt
SetpS file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\IVpR2pA-PN2pS10f_800d.txt

Note:
1. Pin assignment:4ba,3ab (actual name: 59BBN8)
2. HP34401 fast 6 digit
3. DL1201 preamp, HPF DC, LPF 3Hz; DC coupled, line power



!DATASTR!
Time	T1	T2	T5	T6	T8	IG	IS	V1	SD1	V2	SD2	Rcali
(min)	(K)	(K)	(K)	(K)	(K)	(A)	(A)	(V)	(V)	(V)	(V)	(ohm)
1.01672E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.44947E-2	1.73200E+0	0.00000E+0	4.17757E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.83183E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.47325E-2	1.73200E+0	1.00000E-14	4.11046E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
4.76861E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.43838E-2	1.73200E+0	2.00000E-14	4.25207E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
6.66372E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.47978E-2	1.73200E+0	3.00000E-14	4.34318E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
8.45382E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.47835E-2	1.73200E+0	4.00000E-14	4.42679E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.02456E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.45658E-2	1.73200E+0	5.00000E-14	4.56492E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.20274E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.46593E-2	1.73200E+0	6.00000E-14	4.60953E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.38308E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.48127E-2	1.73200E+0	7.00000E-14	4.81363E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.55992E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.46800E-2	1.73200E+0	8.00000E-14	4.82485E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.75077E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.48716E-2	1.73200E+0	9.00000E-14	5.00127E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.94878E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.45981E-2	1.73200E+0	1.00000E-13	5.01479E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.14379E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.45451E-2	1.73200E+0	1.10000E-13	5.14607E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.32163E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.46437E-2	1.73200E+0	1.20000E-13	5.32590E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.50664E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.47084E-2	1.73200E+0	1.30000E-13	5.31680E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.69015E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.48014E-2	1.73200E+0	1.40000E-13	5.52165E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.86833E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.46170E-2	1.73200E+0	1.50000E-13	5.49671E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.05667E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.46999E-2	1.73200E+0	1.60000E-13	5.73640E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.23435E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.47074E-2	1.73200E+0	1.70000E-13	5.74741E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.41886E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.46477E-2	1.73200E+0	1.80000E-13	5.96223E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.59804E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.47136E-2	1.73200E+0	1.90000E-13	5.96940E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.78705E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.48243E-2	1.73200E+0	2.00000E-13	6.13963E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
