Date: Sun, Apr 05, 2020 1:41 PM; User: wsLu; Sample: 59BBNX_IVcZF

Force G mode: None
Force S mode: AWG:IDC	Force S Rser (Max I): 100Mohm - 20nA
Attn: 1.000000E+0; DL1201 gain: 100; Voff (V): 0.000000E+0;
I bias (A): 1.000000E-10 Coil range (A): 2.000000E-3; Coil factor (G/A): 580

Sense mode: HP:IDC/DL1201; DUT Z setting: >10Gohm
tf stb (ms): 500; ts stb (ms): 50; ts itr (ms): 10; #s itr: 1

SetpG file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\MRmL0d96mA-P0d68t0d96mS5u_57d.txt
SetpS file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\IVnR10nA_PN10nS100p_400d.txt

Note:
1. Pin assignment: 6ab,7ab
2. HP34401 fast 6 digit
3. DL1201 preamp, HPF DC, LPF 3Hz; DC coupled, bat power



!DATASTR!
Time	T1	T2	T5	T6	T8	IG	IS	V1	SD1	V2	SD2	Rcali
(min)	(K)	(K)	(K)	(K)	(K)	(A)	(A)	(V)	(V)	(V)	(V)	(ohm)
7.32225E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.33808E-2	1.73200E+0	0.00000E+0	-3.80263E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
7.51026E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.33907E-2	1.73200E+0	1.00000E-10	-1.16507E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
7.70177E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.32383E-2	1.73200E+0	2.00000E-10	3.87562E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
7.89328E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.33770E-2	1.73200E+0	3.00000E-10	4.34562E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
8.07946E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.32884E-2	1.73200E+0	4.00000E-10	4.36275E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
8.26447E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.31589E-2	1.73200E+0	5.00000E-10	4.36856E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
8.45498E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.31046E-2	1.73200E+0	6.00000E-10	4.37319E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
8.64633E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.30015E-2	1.73200E+0	7.00000E-10	4.37538E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
8.83067E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.31929E-2	1.73200E+0	8.00000E-10	4.37771E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
9.01602E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.30249E-2	1.73200E+0	9.00000E-10	4.37916E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
