Date: Sun, Apr 05, 2020 2:28 PM; User: wsLu; Sample: 59BBNX_IVfZF

Force G mode: None
Force S mode: AWG:IDC	Force S Rser (Max I): 1Gohm - 2nA
Attn: 9.600000E-4; DL1201 gain: 100; Voff (V): 0.000000E+0;
I bias (A): 1.000000E-10 Coil range (A): 2.000000E-3; Coil factor (G/A): 580

Sense mode: HP:IDC/DL1201; DUT Z setting: >10Gohm
tf stb (ms): 500; ts stb (ms): 50; ts itr (ms): 10; #s itr: 1

SetpG file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\MRmL0d96mA-P0d68t0d96mS5u_57d.txt
SetpS file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\IVpR2pA-PN2pS10f_800d.txt

Note:
1. Pin assignment:1ab,2ab (actual name: 59BBN1)
2. HP34401 fast 6 digit
3. DL1201 preamp, HPF DC, LPF 3Hz; DC coupled, line power



!DATASTR!
Time	T1	T2	T5	T6	T8	IG	IS	V1	SD1	V2	SD2	Rcali
(min)	(K)	(K)	(K)	(K)	(K)	(A)	(A)	(V)	(V)	(V)	(V)	(ohm)
1.01172E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.46035E-2	1.73200E+0	0.00000E+0	9.29011E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.84016E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.46700E-2	1.73200E+0	1.00000E-14	9.25156E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
4.67027E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.46788E-2	1.73200E+0	2.00000E-14	9.43147E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
6.53037E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.46523E-2	1.73200E+0	3.00000E-14	9.84867E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
8.31214E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.46844E-2	1.73200E+0	4.00000E-14	9.41627E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.00656E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.45220E-2	1.73200E+0	5.00000E-14	9.93579E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.18357E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.44568E-2	1.73200E+0	6.00000E-14	9.69990E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.36991E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.46136E-2	1.73200E+0	7.00000E-14	1.02105E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.54709E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.47212E-2	1.73200E+0	8.00000E-14	9.92470E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.72543E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.46543E-2	1.73200E+0	9.00000E-14	1.03707E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.90244E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.45710E-2	1.73200E+0	1.00000E-13	1.01644E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.08095E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.45322E-2	1.73200E+0	1.10000E-13	1.07849E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.25930E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.46960E-2	1.73200E+0	1.20000E-13	1.02237E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.44047E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.45811E-2	1.73200E+0	1.30000E-13	1.09766E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.61898E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.46284E-2	1.73200E+0	1.40000E-13	1.04213E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.80033E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.47552E-2	1.73200E+0	1.50000E-13	1.11099E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.98517E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.46275E-2	1.73200E+0	1.60000E-13	1.12683E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.16935E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.46347E-2	1.73200E+0	1.70000E-13	1.17363E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.35453E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.48065E-2	1.73200E+0	1.80000E-13	1.14629E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.53020E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.49108E-2	1.73200E+0	1.90000E-13	1.25480E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
