Date: Mon, Apr 06, 2020 4:47 PM; User: wsLu; Sample: 59BBNX_IVc7K

Force G mode: None
Force S mode: AWG:IDC	Force S Rser (Max I): 100Mohm - 20nA
Attn: 1.000000E+0; DL1201 gain: 100; Voff (V): 0.000000E+0;
I bias (A): 1.000000E-10 Coil range (A): 2.000000E-3; Coil factor (G/A): 580

Sense mode: HP:IDC/DL1201; DUT Z setting: >10Gohm
tf stb (ms): 500; ts stb (ms): 50; ts itr (ms): 10; #s itr: 1

SetpG file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\MRmL0d96mA-P0d68t0d96mS5u_57d.txt
SetpS file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\IVnR10nA_PN10nS100p_400d.txt

Note:
1. Pin assignment:1ab,2ab (actual name: 59BBN1)
2. HP34401 fast 6 digit
3. DL1201 preamp, HPF DC, LPF 3Hz; DC coupled, line power



!DATASTR!
Time	T1	T2	T5	T6	T8	IG	IS	V1	SD1	V2	SD2	Rcali
(min)	(K)	(K)	(K)	(K)	(K)	(A)	(A)	(V)	(V)	(V)	(V)	(ohm)
1.05339E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.76651E+0	1.73200E+0	0.00000E+0	-1.50624E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.91017E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.44083E+0	1.73200E+0	1.00000E-10	-5.56054E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
4.75694E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.14554E+0	1.73200E+0	2.00000E-10	4.17810E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
6.58538E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.32160E+0	1.73200E+0	3.00000E-10	1.41024E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
8.44382E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.25835E+0	1.73200E+0	4.00000E-10	2.37918E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.02906E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.46848E+0	1.73200E+0	5.00000E-10	3.37291E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.21374E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.66643E+0	1.73200E+0	6.00000E-10	4.34446E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.39841E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.40182E+0	1.73200E+0	7.00000E-10	5.32084E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.58426E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.70659E+0	1.73200E+0	8.00000E-10	6.49276E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.76977E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.28998E+0	1.73200E+0	9.00000E-10	7.46835E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.95561E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.60172E+0	1.73200E+0	1.00000E-9	8.43014E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.14129E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.39521E+0	1.73200E+0	1.10000E-9	9.42199E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.32580E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.76087E+0	1.73200E+0	1.20000E-9	1.04044E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.51164E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.25168E+0	1.73200E+0	1.30000E-9	1.13450E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.69732E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.35433E+0	1.73200E+0	1.40000E-9	1.23585E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.88850E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.56799E+0	1.73200E+0	1.50000E-9	1.33253E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.07284E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.31626E+0	1.73200E+0	1.60000E-9	1.43072E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.25869E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.35326E+0	1.73200E+0	1.70000E-9	1.52502E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.44353E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.16828E+0	1.73200E+0	1.80000E-9	1.62425E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.62787E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.68659E+0	1.73200E+0	1.90000E-9	1.72488E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.82739E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.65708E+0	1.73200E+0	2.00000E-9	1.82016E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
4.01323E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.72694E+0	1.73200E+0	2.10000E-9	1.91818E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
4.19957E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.56861E+0	1.73200E+0	2.20000E-9	2.01394E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
4.38542E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.42289E+0	1.73200E+0	2.30000E-9	2.11587E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
4.57426E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.49396E+0	1.73200E+0	2.40000E-9	2.21322E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
4.76011E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.19650E+0	1.73200E+0	2.50000E-9	2.31181E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
4.94495E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.42819E+0	1.73200E+0	2.60000E-9	2.40876E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
5.12829E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.17622E+0	1.73200E+0	2.70000E-9	2.50534E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
5.31414E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.48294E+0	1.73200E+0	2.80000E-9	2.60597E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
5.49998E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.46495E+0	1.73200E+0	2.90000E-9	2.70176E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
5.68566E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.24378E+0	1.73200E+0	3.00000E-9	2.79878E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
5.87134E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.47983E+0	1.73200E+0	3.10000E-9	2.89496E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
