Date: Thu, Apr 09, 2020 11:25 AM; User: wsLu; Sample: AO08N14M_IVRT

Force G mode: None
Force S mode: AWG:IDC	Force S Rser (Max I): 100Mohm - 20nA
Attn: 1.000000E+0; DL1201 gain: 100; Voff (V): 0.000000E+0;
I bias (A): 1.000000E-10 Coil range (A): 2.000000E-3; Coil factor (G/A): 580

Sense mode: HP:IDC/DL1201; DUT Z setting: >10Gohm
tf stb (ms): 500; ts stb (ms): 50; ts itr (ms): 10; #s itr: 1

SetpG file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\MRmL0d96mA-P0d68t0d96mS5u_57d.txt
SetpS file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\IVnR10nA-PN10nS2n_20d.txt

Note:
1. Pin assignment:2ba,6a5b
2. HP34401 fast 6 digit
3. DL1201 preamp, HPF DC, LPF 3Hz; DC coupled, line power



!DATASTR!
Time	T1	T2	T5	T6	T8	IG	IS	V1	SD1	V2	SD2	Rcali
(min)	(K)	(K)	(K)	(K)	(K)	(A)	(A)	(V)	(V)	(V)	(V)	(ohm)
1.02672E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	0.00000E+0	5.67080E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.85516E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	2.00000E-9	6.39237E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
4.78527E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	4.00000E-9	7.14288E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
6.77872E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	6.00000E-9	7.87490E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
8.55716E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	8.00000E-9	8.62405E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.04973E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	1.00000E-8	9.33694E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.22557E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	8.00000E-9	8.61014E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.42141E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	6.00000E-9	7.85907E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.59976E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	4.00000E-9	7.13154E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.78844E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	2.00000E-9	6.39241E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.97528E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	0.00000E+0	5.65357E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.16929E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-2.00000E-9	4.91861E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.35513E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-4.00000E-9	4.16936E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.52914E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-6.00000E-9	3.43857E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.71582E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-8.00000E-9	2.70453E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.89433E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-1.00000E-8	1.94754E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.08918E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-8.00000E-9	2.66133E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.26919E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-6.00000E-9	3.41495E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.45453E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-4.00000E-9	4.15380E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.64037E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-2.00000E-9	4.90565E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.82455E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	0.00000E+0	5.66314E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
