Date: Thu, Apr 09, 2020 11:25 AM; User: wsLu; Sample: AO08N14T_IVRT

Force G mode: None
Force S mode: AWG:IDC	Force S Rser (Max I): 100Mohm - 20nA
Attn: 1.000000E+0; DL1201 gain: 100; Voff (V): 0.000000E+0;
I bias (A): 1.000000E-10 Coil range (A): 2.000000E-3; Coil factor (G/A): 580

Sense mode: HP:IDC/DL1201; DUT Z setting: >10Gohm
tf stb (ms): 500; ts stb (ms): 50; ts itr (ms): 10; #s itr: 1

SetpG file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\MRmL0d96mA-P0d68t0d96mS5u_57d.txt
SetpS file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\IVnR10nA-PN10nS2n_20d.txt

Note:
1. Pin assignment:2ba,6ba
2. HP34401 fast 6 digit
3. DL1201 preamp, HPF DC, LPF 3Hz; DC coupled, line power



!DATASTR!
Time	T1	T2	T5	T6	T8	IG	IS	V1	SD1	V2	SD2	Rcali
(min)	(K)	(K)	(K)	(K)	(K)	(A)	(A)	(V)	(V)	(V)	(V)	(ohm)
1.03673E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	0.00000E+0	5.85341E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.82516E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	2.00000E-9	5.99753E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
4.69860E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	4.00000E-9	6.13664E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
6.51537E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	6.00000E-9	6.26946E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
8.37881E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	8.00000E-9	6.41334E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.02373E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	1.00000E-8	6.55192E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.20040E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	8.00000E-9	6.40772E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.38108E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	6.00000E-9	6.27657E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.56009E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	4.00000E-9	6.13230E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.74510E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	2.00000E-9	5.98198E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.92494E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	0.00000E+0	5.82327E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.11462E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-2.00000E-9	5.67447E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.30647E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-4.00000E-9	5.52810E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.48481E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-6.00000E-9	5.38742E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.66399E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-8.00000E-9	5.24794E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.84733E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-1.00000E-8	5.08686E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.04151E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-8.00000E-9	5.22496E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.22002E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-6.00000E-9	5.36003E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.39869E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-4.00000E-9	5.47946E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.57804E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-2.00000E-9	5.61911E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.76372E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	0.00000E+0	5.77792E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
