Date: Thu, Apr 09, 2020 11:22 AM; User: wsLu; Sample: AO08N15T_IVRT

Force G mode: None
Force S mode: AWG:IDC	Force S Rser (Max I): 100Mohm - 20nA
Attn: 1.000000E+0; DL1201 gain: 100; Voff (V): 0.000000E+0;
I bias (A): 1.000000E-10 Coil range (A): 2.000000E-3; Coil factor (G/A): 580

Sense mode: HP:IDC/DL1201; DUT Z setting: >10Gohm
tf stb (ms): 500; ts stb (ms): 50; ts itr (ms): 10; #s itr: 1

SetpG file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\MRmL0d96mA-P0d68t0d96mS5u_57d.txt
SetpS file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\IVnR10nA-PN10nS2n_20d.txt

Note:
1. Pin assignment:2ba,7ab
2. HP34401 fast 6 digit
3. DL1201 preamp, HPF DC, LPF 3Hz; DC coupled, line power



!DATASTR!
Time	T1	T2	T5	T6	T8	IG	IS	V1	SD1	V2	SD2	Rcali
(min)	(K)	(K)	(K)	(K)	(K)	(A)	(A)	(V)	(V)	(V)	(V)	(ohm)
1.07006E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	0.00000E+0	5.82764E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.91850E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	2.00000E-9	6.09037E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
4.77861E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	4.00000E-9	6.35043E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
6.62538E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	6.00000E-9	6.59244E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
8.48382E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	8.00000E-9	6.86055E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.03173E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	1.00000E-8	7.11736E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.21657E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	8.00000E-9	6.86377E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.40125E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	6.00000E-9	6.58001E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.58876E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	4.00000E-9	6.30616E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.77043E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	2.00000E-9	6.03828E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.96295E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	0.00000E+0	5.77523E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.14696E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-2.00000E-9	5.50578E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.32930E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-4.00000E-9	5.24020E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.52214E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-6.00000E-9	4.97312E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.69815E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-8.00000E-9	4.71570E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.87733E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-1.00000E-8	4.46795E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.06168E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-8.00000E-9	4.72572E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.24885E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-6.00000E-9	4.98173E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.42720E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-4.00000E-9	5.25251E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.60521E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-2.00000E-9	5.50950E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.78305E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	0.00000E+0	5.77028E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
