Date: Thu, Apr 09, 2020 11:21 AM; User: wsLu; Sample: AO08N1B_IVRT

Force G mode: None
Force S mode: AWG:IDC	Force S Rser (Max I): 100Mohm - 20nA
Attn: 1.000000E+0; DL1201 gain: 100; Voff (V): 0.000000E+0;
I bias (A): 1.000000E-10 Coil range (A): 2.000000E-3; Coil factor (G/A): 580

Sense mode: HP:IDC/DL1201; DUT Z setting: >10Gohm
tf stb (ms): 500; ts stb (ms): 50; ts itr (ms): 10; #s itr: 1

SetpG file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\MRmL0d96mA-P0d68t0d96mS5u_57d.txt
SetpS file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\IVnR10nA-PN10nS2n_20d.txt

Note:
1. Pin assignment:1ba,12ab
2. HP34401 fast 6 digit
3. DL1201 preamp, HPF DC, LPF 3Hz; DC coupled, line power



!DATASTR!
Time	T1	T2	T5	T6	T8	IG	IS	V1	SD1	V2	SD2	Rcali
(min)	(K)	(K)	(K)	(K)	(K)	(A)	(A)	(V)	(V)	(V)	(V)	(ohm)
1.06839E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	0.00000E+0	5.63707E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.90517E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	2.00000E-9	6.89660E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
4.76861E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	4.00000E-9	8.15601E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
6.61538E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	6.00000E-9	9.41030E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
8.46215E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	8.00000E-9	1.06721E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.03139E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	1.00000E-8	1.19290E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.21607E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	8.00000E-9	1.06714E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.40108E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	6.00000E-9	9.42111E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.58409E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	4.00000E-9	8.18115E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.76993E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	2.00000E-9	6.91922E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.95411E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	0.00000E+0	5.66598E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.13729E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-2.00000E-9	4.40203E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.32313E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-4.00000E-9	3.14270E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.51414E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-6.00000E-9	1.90631E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
