Date: Thu, Apr 09, 2020 11:20 AM; User: wsLu; Sample: AO08N1M_IVRT

Force G mode: None
Force S mode: AWG:IDC	Force S Rser (Max I): 100Mohm - 20nA
Attn: 1.000000E+0; DL1201 gain: 100; Voff (V): 0.000000E+0;
I bias (A): 1.000000E-10 Coil range (A): 2.000000E-3; Coil factor (G/A): 580

Sense mode: HP:IDC/DL1201; DUT Z setting: >10Gohm
tf stb (ms): 500; ts stb (ms): 50; ts itr (ms): 10; #s itr: 1

SetpG file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\MRmL0d96mA-P0d68t0d96mS5u_57d.txt
SetpS file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\IVnR10nA-PN10nS2n_20d.txt

Note:
1. Pin assignment:1ba,11b12a
2. HP34401 fast 6 digit
3. DL1201 preamp, HPF DC, LPF 3Hz; DC coupled, line power



!DATASTR!
Time	T1	T2	T5	T6	T8	IG	IS	V1	SD1	V2	SD2	Rcali
(min)	(K)	(K)	(K)	(K)	(K)	(A)	(A)	(V)	(V)	(V)	(V)	(ohm)
1.07840E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	0.00000E+0	5.80272E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.92683E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	2.00000E-9	5.77585E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
4.77361E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	4.00000E-9	5.76034E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
6.62205E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	6.00000E-9	5.75105E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
8.46715E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	8.00000E-9	5.72936E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.03823E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	1.00000E-8	5.71350E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.22324E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	8.00000E-9	5.73390E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.40591E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	6.00000E-9	5.74450E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.59109E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	4.00000E-9	5.76479E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.77660E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	2.00000E-9	5.78412E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.96128E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	0.00000E+0	5.81098E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.14546E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-2.00000E-9	5.80908E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.33130E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-4.00000E-9	5.82075E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.51581E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-6.00000E-9	5.82751E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.70582E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-8.00000E-9	5.83807E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.89050E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	1.02005E+2	1.73200E+0	-1.00000E-8	5.86005E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
