Date: Sun, Apr 05, 2020 2:45 PM; User: wsLu; Sample: 59BBN1_IVfZF

Force G mode: None
Force S mode: AWG:IDC	Force S Rser (Max I): 1Gohm - 2nA
Attn: 9.600000E-4; DL1201 gain: 100; Voff (V): 0.000000E+0;
I bias (A): 1.000000E-10 Coil range (A): 2.000000E-3; Coil factor (G/A): 580

Sense mode: HP:IDC/DL1201; DUT Z setting: >10Gohm
tf stb (ms): 500; ts stb (ms): 50; ts itr (ms): 10; #s itr: 1

SetpG file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\MRmL0d96mA-P0d68t0d96mS5u_57d.txt
SetpS file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\IVpR2pA-PN2pS10f_800d.txt

Note:
1. Pin assignment:4ba,3ab (actual name: 59BBN8)
2. HP34401 fast 6 digit
3. DL1201 preamp, HPF DC, LPF 3Hz; DC coupled, line power



!DATASTR!
Time	T1	T2	T5	T6	T8	IG	IS	V1	SD1	V2	SD2	Rcali
(min)	(K)	(K)	(K)	(K)	(K)	(A)	(A)	(V)	(V)	(V)	(V)	(ohm)
9.98391E-3	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.48978E-2	1.73200E+0	0.00000E+0	3.22859E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.84183E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.49531E-2	1.73200E+0	1.00000E-14	2.97279E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
4.79027E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.50065E-2	1.73200E+0	2.00000E-14	2.78058E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
6.78039E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.49449E-2	1.73200E+0	3.00000E-14	2.75608E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
8.55882E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.51029E-2	1.73200E+0	4.00000E-14	2.84778E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.03623E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.49763E-2	1.73200E+0	5.00000E-14	2.74239E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.21457E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.49698E-2	1.73200E+0	6.00000E-14	2.84944E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.39225E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.50394E-2	1.73200E+0	7.00000E-14	2.75848E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.56959E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.50640E-2	1.73200E+0	8.00000E-14	2.90169E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
