Date: Sun, Apr 05, 2020 2:11 PM; User: wsLu; Sample: 59BBNX_IVfZF

Force G mode: None
Force S mode: AWG:IDC	Force S Rser (Max I): 1Gohm - 2nA
Attn: 9.600000E-4; DL1201 gain: 100; Voff (V): 0.000000E+0;
I bias (A): 1.000000E-10 Coil range (A): 2.000000E-3; Coil factor (G/A): 580

Sense mode: HP:IDC/DL1201; DUT Z setting: >10Gohm
tf stb (ms): 500; ts stb (ms): 50; ts itr (ms): 10; #s itr: 1

SetpG file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\MRmL0d96mA-P0d68t0d96mS5u_57d.txt
SetpS file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\IVpR2pA-PN2pS10f_800d.txt

Note:
1. Pin assignment:1ab,2ab (actual name: 59BBN1)
2. HP34401 fast 6 digit
3. DL1201 preamp, HPF DC, LPF 3Hz; DC coupled, line power



!DATASTR!
Time	T1	T2	T5	T6	T8	IG	IS	V1	SD1	V2	SD2	Rcali
(min)	(K)	(K)	(K)	(K)	(K)	(A)	(A)	(V)	(V)	(V)	(V)	(ohm)
1.14007E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.44289E-2	1.73200E+0	0.00000E+0	1.67721E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.01351E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.42809E-2	1.73200E+0	1.00000E-14	1.64469E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
4.87028E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.42825E-2	1.73200E+0	2.00000E-14	1.65137E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
6.64705E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.43505E-2	1.73200E+0	3.00000E-14	1.71740E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
8.47215E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.43508E-2	1.73200E+0	4.00000E-14	1.66062E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.02573E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.45339E-2	1.73200E+0	5.00000E-14	1.73712E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.20790E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.43107E-2	1.73200E+0	6.00000E-14	1.71429E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.38575E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.44218E-2	1.73200E+0	7.00000E-14	1.80285E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.57109E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.46254E-2	1.73200E+0	8.00000E-14	1.75400E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.75560E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.44521E-2	1.73200E+0	9.00000E-14	1.83548E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.93544E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.43928E-2	1.73200E+0	1.00000E-13	1.80845E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
