Date: Mon, Apr 06, 2020 4:43 PM; User: wsLu; Sample: 59BBN1_IVc7K

Force G mode: None
Force S mode: AWG:IDC	Force S Rser (Max I): 100Mohm - 20nA
Attn: 1.000000E+0; DL1201 gain: 100; Voff (V): 0.000000E+0;
I bias (A): 1.000000E-10 Coil range (A): 2.000000E-3; Coil factor (G/A): 580

Sense mode: HP:IDC/DL1201; DUT Z setting: >10Gohm
tf stb (ms): 500; ts stb (ms): 50; ts itr (ms): 10; #s itr: 1

SetpG file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\MRmL0d96mA-P0d68t0d96mS5u_57d.txt
SetpS file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\IVnR10nA_PN10nS100p_400d.txt

Note:
1. Pin assignment:4ba,3ab (actual name: 59BBN8)
2. HP34401 fast 6 digit
3. DL1201 preamp, HPF DC, LPF 3Hz; DC coupled, line power



!DATASTR!
Time	T1	T2	T5	T6	T8	IG	IS	V1	SD1	V2	SD2	Rcali
(min)	(K)	(K)	(K)	(K)	(K)	(A)	(A)	(V)	(V)	(V)	(V)	(ohm)
1.04173E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.42884E+0	1.73200E+0	0.00000E+0	-2.01216E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.91683E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.55485E+0	1.73200E+0	1.00000E-10	-8.48831E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
4.76361E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.45056E+0	1.73200E+0	2.00000E-10	3.35504E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
6.62538E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.88835E+0	1.73200E+0	3.00000E-10	1.54927E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
8.51882E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.60852E+0	1.73200E+0	4.00000E-10	2.71958E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.03756E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.58446E+0	1.73200E+0	5.00000E-10	3.94096E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.22857E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.44594E+0	1.73200E+0	6.00000E-10	5.13813E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.41341E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.97137E+0	1.73200E+0	7.00000E-10	6.32251E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.59976E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	6.62590E+0	1.73200E+0	8.00000E-10	7.75547E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
