Profile 1             
x  y           
[m]     [m]         
0  2.4863324e-006            
1.9484787e-008  2.4863364e-006            
3.8969574e-008  2.4862737e-006            
5.8454361e-008  2.486655e-006            
7.7939148e-008  2.4871689e-006            
9.7423936e-008  2.4887674e-006            
1.1690872e-007  2.4889428e-006            
1.3639351e-007  2.4895972e-006            
1.558783e-007  2.4903544e-006            
1.7536308e-007  2.4913121e-006            
1.9484787e-007  2.4928175e-006            
2.1433266e-007  2.4947403e-006            
2.3381745e-007  2.4946452e-006            
2.5330223e-007  2.4901881e-006            
2.7278702e-007  2.4842854e-006            
2.9227181e-007  2.4840621e-006            
3.1175659e-007  2.4852318e-006            
3.3124138e-007  2.4865914e-006            
3.5072617e-007  2.48888e-006            
3.7021096e-007  2.4895359e-006            
3.8969574e-007  2.4897781e-006            
4.0918053e-007  2.4907373e-006            
4.2866532e-007  2.4929681e-006            
4.481501e-007  2.4958942e-006            
4.6763489e-007  2.4999917e-006            
4.8711968e-007  2.502769e-006            
5.0660447e-007  2.5057056e-006            
5.2608925e-007  2.507857e-006            
5.4557404e-007  2.5111695e-006            
5.6505883e-007  2.5138134e-006            
5.8454361e-007  2.5166951e-006            
6.040284e-007  2.5200871e-006            
6.2351319e-007  2.5237894e-006            
6.4299798e-007  2.5264981e-006            
6.6248276e-007  2.5270397e-006            
6.8196755e-007  2.5271599e-006            
7.0145234e-007  2.5283248e-006            
7.2093712e-007  2.5313978e-006            
7.4042191e-007  2.5335844e-006            
7.599067e-007  2.5325799e-006            
7.7939148e-007  2.532791e-006            
7.9887627e-007  2.5340225e-006            
8.1836106e-007  2.5333107e-006            
8.3784585e-007  2.5328428e-006            
8.5733063e-007  2.5333567e-006            
8.7681542e-007  2.5343051e-006            
8.9630021e-007  2.5332187e-006            
9.1578499e-007  2.5308556e-006            
9.3526978e-007  2.5298153e-006            
9.5475457e-007  2.5321256e-006            
9.7423936e-007  2.5335918e-006            
9.9372414e-007  2.531677e-006            
1.0132089e-006  2.5298305e-006            
1.0326937e-006  2.5287656e-006            
1.0521785e-006  2.5273847e-006            
1.0716633e-006  2.5253701e-006            
1.0911481e-006  2.5254212e-006            
1.1106329e-006  2.5261217e-006            
1.1301177e-006  2.5245979e-006            
1.1496024e-006  2.5222832e-006            
1.1690872e-006  2.5199069e-006            
1.188572e-006  2.5202344e-006            
1.2080568e-006  2.519004e-006            
1.2275416e-006  2.5158832e-006            
1.2470264e-006  2.5141517e-006            
1.2665112e-006  2.5120064e-006            
1.285996e-006  2.5086668e-006            
1.3054807e-006  2.4995152e-006            
1.3249655e-006  2.491896e-006            
1.3444503e-006  2.4913696e-006            
1.3639351e-006  2.4888014e-006            
1.3834199e-006  2.4858887e-006            
1.4029047e-006  2.4863084e-006            
1.4223895e-006  2.4906377e-006            
1.4418742e-006  2.4942182e-006            
1.461359e-006  2.4938724e-006            
1.4808438e-006  2.4928924e-006            
1.5003286e-006  2.4920218e-006            
1.5198134e-006  2.4911269e-006            
1.5392982e-006  2.4914604e-006            
1.558783e-006  2.4929214e-006            
1.5782678e-006  2.4897703e-006            
1.5977525e-006  2.4895201e-006            
1.6172373e-006  2.4890598e-006            
1.6367221e-006  2.4890488e-006            
1.6562069e-006  2.489038e-006            
1.6756917e-006  2.4888976e-006            
1.6951765e-006  2.4889258e-006            
1.7146613e-006  2.4888898e-006            
1.7341461e-006  2.4889069e-006            
1.7536308e-006  2.4888816e-006            
1.7731156e-006  2.488774e-006            
1.7926004e-006  2.4887784e-006            
1.8120852e-006  2.4886584e-006            
1.83157e-006  2.4888015e-006            
1.8510548e-006  2.4886836e-006            
1.8705396e-006  2.4887282e-006            
1.8900244e-006  2.4889068e-006            
1.9095091e-006  2.4886553e-006            
1.9289939e-006  2.4885967e-006            
1.9484787e-006  2.4886469e-006            
1.9679635e-006  2.488684e-006            
1.9874483e-006  2.4885784e-006            
