Profile 1             
x  y
[m]     [m]         
0  4.4226168e-006            
4.697544e-009  4.4223766e-006            
9.3950881e-009  4.4222427e-006            
1.4092632e-008  4.4219193e-006            
1.8790176e-008  4.4220177e-006            
2.348772e-008  4.421996e-006            
2.8185264e-008  4.4221913e-006            
3.2882808e-008  4.4221838e-006            
3.7580352e-008  4.4224581e-006            
4.2277896e-008  4.4229556e-006            
4.697544e-008  4.4221841e-006            
5.1672984e-008  4.4223036e-006            
5.6370529e-008  4.4218592e-006            
6.1068073e-008  4.422573e-006            
6.5765617e-008  4.4222857e-006            
7.0463161e-008  4.422045e-006            
7.5160705e-008  4.4218149e-006            
7.9858249e-008  4.4218978e-006            
8.4555793e-008  4.42218e-006            
8.9253337e-008  4.4224749e-006            
9.3950881e-008  4.4225748e-006            
9.8648425e-008  4.4220663e-006            
1.0334597e-007  4.4219197e-006            
1.0804351e-007  4.4216847e-006            
1.1274106e-007  4.4214977e-006            
1.174386e-007  4.4216032e-006            
1.2213615e-007  4.4214779e-006            
1.2683369e-007  4.4214076e-006            
1.3153123e-007  4.4215848e-006            
1.3622878e-007  4.4217473e-006            
1.4092632e-007  4.4217109e-006            
1.4562387e-007  4.4216358e-006            
1.5032141e-007  4.4216691e-006            
1.5501895e-007  4.4216695e-006            
1.597165e-007  4.42177e-006            
1.6441404e-007  4.4217982e-006            
1.6911159e-007  4.4216336e-006            
1.7380913e-007  4.4217292e-006            
1.7850667e-007  4.4219382e-006            
1.8320422e-007  4.4220505e-006            
1.8790176e-007  4.4219227e-006            
1.9259931e-007  4.42177e-006            
1.9729685e-007  4.4215105e-006            
2.0199439e-007  4.4213165e-006            
2.0669194e-007  4.4213815e-006            
2.1138948e-007  4.4216081e-006            
2.1608703e-007  4.421683e-006            
2.2078457e-007  4.4215931e-006            
2.2548211e-007  4.421412e-006            
2.3017966e-007  4.4211239e-006            
2.348772e-007  4.421072e-006            
2.3957475e-007  4.4211946e-006            
2.4427229e-007  4.4211729e-006            
2.4896983e-007  4.4211886e-006            
2.5366738e-007  4.4212547e-006            
