Profile 1             
x  y
[m]     [m]         
0  4.4938042e-006            
3.9484165e-009  4.4937271e-006            
7.8968329e-009  4.493914e-006            
1.1845249e-008  4.4937927e-006            
1.5793666e-008  4.493956e-006            
1.9742082e-008  4.493958e-006            
2.3690499e-008  4.4938048e-006            
2.7638915e-008  4.4937027e-006            
3.1587332e-008  4.4937142e-006            
3.5535748e-008  4.4939645e-006            
3.9484165e-008  4.4937711e-006            
4.3432581e-008  4.4940547e-006            
4.7380998e-008  4.4940296e-006            
5.1329414e-008  4.4939353e-006            
5.527783e-008  4.4938668e-006            
5.9226247e-008  4.4940282e-006            
6.3174663e-008  4.493921e-006            
6.712308e-008  4.4939622e-006            
7.1071496e-008  4.494189e-006            
7.5019913e-008  4.4941725e-006            
7.8968329e-008  4.4943058e-006            
8.2916746e-008  4.4943073e-006            
8.6865162e-008  4.4940989e-006            
9.0813579e-008  4.4938061e-006            
9.4761995e-008  4.4939118e-006            
9.8710411e-008  4.4939108e-006            
1.0265883e-007  4.4938244e-006            
1.0660724e-007  4.4939003e-006            
1.1055566e-007  4.494017e-006            
1.1450408e-007  4.4941588e-006            
1.1845249e-007  4.4942911e-006            
1.2240091e-007  4.494361e-006            
1.2634933e-007  4.4943276e-006            
1.3029774e-007  4.4943296e-006            
1.3424616e-007  4.494522e-006            
1.3819458e-007  4.4944947e-006            
1.4214299e-007  4.4944795e-006            
1.4609141e-007  4.4943265e-006            
1.5003983e-007  4.4943074e-006            
1.5398824e-007  4.4941734e-006            
1.5793666e-007  4.494268e-006            
1.6188507e-007  4.4942075e-006            
1.6583349e-007  4.4943225e-006            
1.6978191e-007  4.4944799e-006            
1.7373032e-007  4.494603e-006            
1.7767874e-007  4.494419e-006            
1.8162716e-007  4.4943398e-006            
1.8557557e-007  4.4943415e-006            
1.8952399e-007  4.4942067e-006            
1.9347241e-007  4.4943171e-006            
1.9742082e-007  4.4944032e-006            
2.0136924e-007  4.4946046e-006            
2.0531766e-007  4.4945887e-006            
2.0926607e-007  4.4945188e-006            
2.1321449e-007  4.4944655e-006            
2.1716291e-007  4.494572e-006            
2.2111132e-007  4.4945404e-006            
2.2505974e-007  4.4945159e-006            
2.2900815e-007  4.4943852e-006            
2.3295657e-007  4.4942545e-006            
2.3690499e-007  4.4940378e-006            
2.408534e-007  4.494084e-006            
2.4480182e-007  4.4942742e-006            
2.4875024e-007  4.4943717e-006            
2.5269865e-007  4.4942209e-006            
2.5664707e-007  4.4943784e-006            
2.6059549e-007  4.494898e-006            
2.645439e-007  4.4949645e-006            
2.6849232e-007  4.494985e-006            
2.7244074e-007  4.4952311e-006            
2.7638915e-007  4.4958804e-006            
2.8033757e-007  4.4959471e-006            
2.8428599e-007  4.4960242e-006            
2.882344e-007  4.4956277e-006            
2.9218282e-007  4.5069543e-006            
2.9613123e-007  4.5185241e-006            
3.0007965e-007  4.5236918e-006            
3.0402807e-007  4.5303393e-006            
3.0797648e-007  4.5367467e-006            
3.119249e-007  4.5401723e-006            
3.1587332e-007  4.5451666e-006            
3.1982173e-007  4.5489607e-006            
3.2377015e-007  4.5517493e-006            
3.2771857e-007  4.5540789e-006            
3.3166698e-007  4.5561686e-006            
3.356154e-007  4.5574479e-006            
3.3956382e-007  4.5587071e-006            
3.4351223e-007  4.5597735e-006            
3.4746065e-007  4.5605597e-006            
3.5140906e-007  4.5606616e-006            
3.5535748e-007  4.5598899e-006            
3.593059e-007  4.5576151e-006            
3.6325431e-007  4.5555142e-006            
3.6720273e-007  4.5542249e-006            
3.7115115e-007  4.5524409e-006            
3.7509956e-007  4.5506972e-006            
3.7904798e-007  4.5484713e-006            
3.829964e-007  4.5450513e-006            
3.8694481e-007  4.5410175e-006            
3.9089323e-007  4.5342832e-006            
3.9484165e-007  4.5148097e-006            
3.9879006e-007  4.5082494e-006            
4.0273848e-007  4.5090243e-006            
4.066869e-007  4.5094173e-006            
4.1063531e-007  4.509799e-006            
