Date: Mon, Nov 04, 2019 11:52 AM; User: wsLu; Sample: 70N3_IVc

Force G mode: None
Force S mode: AWG:IDC	Force S Rser (Max I): 1Gohm - 2nA
Attn: 1.000000E+0; DL1201 gain: 100; Voff (V): 0.000000E+0;
I bias (A): 1.000000E-10 Coil range (A): 2.000000E-3; Coil factor (G/A): 580

Sense mode: HP:IDC/DL1201; DUT Z setting: >10Gohm
tf stb (ms): 500; ts stb (ms): 50; ts itr (ms): 10; #s itr: 1

SetpG file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\MRmL0d96mA-P0d68t0d96mS5u_57d.txt
SetpS file:
\\JOSH-PC\OurData\wsLu\RawData\DC\setpt\IVnR1nA_PN1nS10p_400d.txt

Note:
1. Pin assignment: 2ba,1ab
2. HP34401 fast 6 digit
3. DL1201 preamp, HPF DC, LPF 3Hz; DC coupled, bat power



!DATASTR!
Time	T1	T2	T5	T6	T8	IG	IS	V1	SD1	V2	SD2	Rcali
(min)	(K)	(K)	(K)	(K)	(K)	(A)	(A)	(V)	(V)	(V)	(V)	(ohm)
2.30680E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	4.03356E-2	1.73200E+0	0.00000E+0	-5.25941E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.22707E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	4.00343E-2	1.73200E+0	1.00000E-11	-4.63336E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.10745E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	4.00879E-2	1.73200E+0	2.00000E-11	-3.95607E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.45414E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.99926E-2	1.73200E+0	3.00000E-11	-3.59966E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
2.97434E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	4.01832E-2	1.73200E+0	4.00000E-11	-3.33961E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.56754E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	4.01241E-2	1.73200E+0	5.00000E-11	-3.03576E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
3.77072E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	4.01468E-2	1.73200E+0	6.00000E-11	-2.13748E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
4.40325E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.99913E-2	1.73200E+0	7.00000E-11	-1.58342E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
5.02529E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.98155E-2	1.73200E+0	8.00000E-11	-9.10621E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
5.59049E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.99835E-2	1.73200E+0	9.00000E-11	-1.28736E-5	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
6.16035E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	4.01292E-2	1.73200E+0	1.00000E-10	4.69284E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
6.43637E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	4.00069E-2	1.73200E+0	1.10000E-10	4.72409E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
7.06507E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	4.00372E-2	1.73200E+0	1.20000E-10	4.79642E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
7.75911E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	4.00363E-2	1.73200E+0	1.30000E-10	4.84341E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
8.38698E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.99506E-2	1.73200E+0	1.40000E-10	5.24442E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
9.11419E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	3.98826E-2	1.73200E+0	1.50000E-10	5.26875E-3	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
