Freq (GHz)	del S21 (fW)
3.000000e+00	4.782769e+00
3.000312e+00	4.693876e+00
3.000625e+00	5.156640e+00
3.000937e+00	4.883126e+00
3.001249e+00	5.048117e+00
3.001562e+00	4.984918e+00
3.001874e+00	5.032880e+00
3.002186e+00	5.195944e+00
3.002498e+00	5.383882e+00
3.002811e+00	5.394332e+00
3.003123e+00	5.497067e+00
3.003435e+00	5.536851e+00
3.003748e+00	5.686057e+00
3.004060e+00	5.899468e+00
3.004372e+00	5.748741e+00
3.004685e+00	5.900015e+00
3.004997e+00	5.982254e+00
3.005309e+00	5.972988e+00
3.005621e+00	6.121226e+00
3.005934e+00	6.005522e+00
3.006246e+00	6.109503e+00
3.006558e+00	6.024527e+00
3.006871e+00	6.236155e+00
3.007183e+00	6.043356e+00
3.007495e+00	6.186442e+00
3.007808e+00	6.293588e+00
3.008120e+00	6.219316e+00
3.008432e+00	6.276448e+00
3.008745e+00	6.418521e+00
3.009057e+00	6.381318e+00
3.009369e+00	6.472831e+00
3.009681e+00	6.547265e+00
3.009994e+00	6.406479e+00
3.010306e+00	6.496206e+00
3.010618e+00	6.452210e+00
3.010931e+00	6.466761e+00
3.011243e+00	6.512499e+00
3.011555e+00	6.653530e+00
3.011868e+00	6.591839e+00
3.012180e+00	6.578099e+00
3.012492e+00	6.650742e+00
3.012804e+00	6.701311e+00
3.013117e+00	6.666021e+00
3.013429e+00	6.712993e+00
3.013741e+00	6.741309e+00
3.014054e+00	6.759461e+00
3.014366e+00	6.814437e+00
3.014678e+00	6.806542e+00
3.014991e+00	6.806979e+00
3.015303e+00	6.767626e+00
3.015615e+00	6.662161e+00
3.015928e+00	6.695075e+00
3.016240e+00	6.725845e+00
3.016552e+00	6.848407e+00
3.016864e+00	6.796802e+00
3.017177e+00	6.791638e+00
3.017489e+00	6.705492e+00
3.017801e+00	6.740914e+00
3.018114e+00	6.912855e+00
3.018426e+00	6.744250e+00
3.018738e+00	6.786054e+00
3.019051e+00	6.862851e+00
3.019363e+00	6.876773e+00
3.019675e+00	6.725049e+00
3.019988e+00	6.826780e+00
3.020300e+00	6.812568e+00
3.020612e+00	6.741744e+00
3.020924e+00	6.866212e+00
3.021237e+00	6.919387e+00
3.021549e+00	6.809585e+00
3.021861e+00	6.859436e+00
3.022174e+00	6.757660e+00
3.022486e+00	6.401268e+00
3.022798e+00	6.614997e+00
3.023111e+00	6.683790e+00
3.023423e+00	6.725231e+00
3.023735e+00	6.648201e+00
3.024047e+00	6.744874e+00
3.024360e+00	6.600917e+00
3.024672e+00	6.638065e+00
3.024984e+00	6.691989e+00
3.025297e+00	6.455539e+00
3.025609e+00	6.492234e+00
3.025921e+00	6.522665e+00
3.026234e+00	6.516991e+00
3.026546e+00	6.421678e+00
3.026858e+00	6.566990e+00
3.027171e+00	6.422149e+00
3.027483e+00	6.477013e+00
3.027795e+00	6.431681e+00
3.028107e+00	6.235454e+00
3.028420e+00	6.215134e+00
3.028732e+00	6.297895e+00
3.029044e+00	6.300907e+00
3.029357e+00	6.149468e+00
3.029669e+00	6.113910e+00
3.029981e+00	6.102960e+00
3.030294e+00	5.944576e+00
3.030606e+00	6.081061e+00
3.030918e+00	6.031961e+00
3.031230e+00	6.025181e+00
3.031543e+00	5.884521e+00
3.031855e+00	6.043565e+00
3.032167e+00	6.032784e+00
3.032480e+00	6.060125e+00
3.032792e+00	6.101823e+00
3.033104e+00	6.061595e+00
3.033417e+00	6.092852e+00
3.033729e+00	5.829095e+00
3.034041e+00	6.023057e+00
3.034354e+00	6.173809e+00
3.034666e+00	5.972859e+00
3.034978e+00	6.039395e+00
3.035290e+00	6.086219e+00
3.035603e+00	5.980938e+00
3.035915e+00	6.013941e+00
3.036227e+00	5.954153e+00
3.036540e+00	5.921241e+00
3.036852e+00	5.787048e+00
3.037164e+00	5.923698e+00
3.037477e+00	5.743546e+00
3.037789e+00	5.817167e+00
3.038101e+00	5.858365e+00
3.038413e+00	5.837724e+00
3.038726e+00	5.774030e+00
3.039038e+00	5.749881e+00
3.039350e+00	5.811943e+00
3.039663e+00	5.747492e+00
3.039975e+00	5.656223e+00
3.040287e+00	5.793238e+00
3.040600e+00	5.985295e+00
3.040912e+00	5.912707e+00
3.041224e+00	5.791604e+00
3.041537e+00	5.924185e+00
3.041849e+00	5.835278e+00
3.042161e+00	5.708732e+00
3.042473e+00	5.750289e+00
3.042786e+00	5.654558e+00
3.043098e+00	5.653059e+00
3.043410e+00	5.711045e+00
3.043723e+00	5.650333e+00
3.044035e+00	5.587224e+00
3.044347e+00	5.520728e+00
3.044660e+00	5.568986e+00
3.044972e+00	5.443337e+00
3.045284e+00	5.514142e+00
3.045597e+00	5.400099e+00
3.045909e+00	5.432696e+00
3.046221e+00	5.445859e+00
3.046533e+00	5.404393e+00
3.046846e+00	5.324534e+00
3.047158e+00	5.281044e+00
3.047470e+00	5.167418e+00
