Profile 1             
x  y           
[m]     [m]         
0  3.3865106e-006            
1.9577682e-008  3.3864281e-006            
3.9155365e-008  3.3863164e-006            
5.8733047e-008  3.38657e-006            
7.8310729e-008  3.3865095e-006            
9.7888412e-008  3.3867398e-006            
1.1746609e-007  3.386554e-006            
1.3704378e-007  3.386344e-006            
1.5662146e-007  3.3866258e-006            
1.7619914e-007  3.3867819e-006            
1.9577682e-007  3.3869486e-006            
2.1535451e-007  3.3869399e-006            
2.3493219e-007  3.3871691e-006            
2.5450987e-007  3.3876182e-006            
2.7408755e-007  3.3875912e-006            
2.9366524e-007  3.3862428e-006            
3.1324292e-007  3.3854668e-006            
3.328206e-007  3.3852661e-006            
3.5239828e-007  3.3862276e-006            
3.7197596e-007  3.3871365e-006            
3.9155365e-007  3.388066e-006            
4.1113133e-007  3.3892158e-006            
4.3070901e-007  3.390345e-006            
4.5028669e-007  3.3912579e-006            
4.6986438e-007  3.3922556e-006            
4.8944206e-007  3.3929753e-006            
5.0901974e-007  3.3936924e-006            
5.2859742e-007  3.3947928e-006            
5.4817511e-007  3.3962742e-006            
5.6775279e-007  3.3975722e-006            
5.8733047e-007  3.3997946e-006            
6.0690815e-007  3.4021284e-006            
6.2648584e-007  3.4041868e-006            
6.4606352e-007  3.406417e-006            
6.656412e-007  3.4088171e-006            
6.8521888e-007  3.4110572e-006            
7.0479656e-007  3.4136076e-006            
7.2437425e-007  3.4162377e-006            
7.4395193e-007  3.4186768e-006            
7.6352961e-007  3.4209246e-006            
7.8310729e-007  3.4231416e-006            
8.0268498e-007  3.4244872e-006            
8.2226266e-007  3.4272068e-006            
8.4184034e-007  3.429238e-006            
8.6141802e-007  3.4304648e-006            
8.8099571e-007  3.429811e-006            
9.0057339e-007  3.4300314e-006            
9.2015107e-007  3.431044e-006            
9.3972875e-007  3.4309029e-006            
9.5930644e-007  3.4310494e-006            
9.7888412e-007  3.4315998e-006            
9.984618e-007  3.4316142e-006            
1.0180395e-006  3.4313952e-006            
1.0376172e-006  3.4313124e-006            
1.0571948e-006  3.430252e-006            
1.0767725e-006  3.4296086e-006            
1.0963502e-006  3.4297012e-006            
1.1159279e-006  3.4290104e-006            
1.1355056e-006  3.4288566e-006            
1.1550833e-006  3.4280633e-006            
1.1746609e-006  3.4271104e-006            
1.1942386e-006  3.4260124e-006            
1.2138163e-006  3.4243209e-006            
1.233394e-006  3.4238412e-006            
1.2529717e-006  3.4235218e-006            
1.2725494e-006  3.4227085e-006            
1.292127e-006  3.4219217e-006            
1.3117047e-006  3.4198178e-006            
1.3312824e-006  3.4183326e-006            
1.3508601e-006  3.4170017e-006            
1.3704378e-006  3.4153387e-006            
1.3900154e-006  3.4135724e-006            
1.4095931e-006  3.4110371e-006            
1.4291708e-006  3.4089088e-006            
1.4487485e-006  3.4061522e-006            
1.4683262e-006  3.4028717e-006            
1.4879039e-006  3.3996099e-006            
1.5074815e-006  3.3965113e-006            
1.5270592e-006  3.3943299e-006            
1.5466369e-006  3.3938415e-006            
1.5662146e-006  3.3928802e-006            
1.5857923e-006  3.3928199e-006            
1.60537e-006  3.394245e-006            
1.6249476e-006  3.3957049e-006            
1.6445253e-006  3.3940479e-006            
1.664103e-006  3.3893057e-006            
1.6836807e-006  3.3889604e-006            
1.7032584e-006  3.3887701e-006            
1.722836e-006  3.3888364e-006            
1.7424137e-006  3.3895907e-006            
1.7619914e-006  3.3912782e-006            
1.7815691e-006  3.3920293e-006            
1.8011468e-006  3.3902146e-006            
1.8207245e-006  3.3888428e-006            
1.8403021e-006  3.3888671e-006            
1.8598798e-006  3.3889344e-006            
1.8794575e-006  3.3890497e-006            
1.8990352e-006  3.3889534e-006            
1.9186129e-006  3.3889311e-006            
1.9381906e-006  3.3889404e-006            
1.9577682e-006  3.389158e-006            
1.9773459e-006  3.3891055e-006            
1.9969236e-006  3.3891561e-006            
2.0165013e-006  3.3891239e-006            
2.036079e-006  3.3889989e-006            
2.0556566e-006  3.3889187e-006            
