Profile 1             
x  y           
[m]     [m]         
0  3.0496389e-006            
1.9448601e-008  3.0497361e-006            
3.8897203e-008  3.0494976e-006            
5.8345804e-008  3.0496787e-006            
7.7794405e-008  3.0498571e-006            
9.7243006e-008  3.049671e-006            
1.1669161e-007  3.0496998e-006            
1.3614021e-007  3.0499491e-006            
1.5558881e-007  3.0500208e-006            
1.7503741e-007  3.0500218e-006            
1.9448601e-007  3.0496561e-006            
2.1393461e-007  3.0495322e-006            
2.3338322e-007  3.0496531e-006            
2.5283182e-007  3.0498583e-006            
2.7228042e-007  3.0498595e-006            
2.9172902e-007  3.0499449e-006            
3.1117762e-007  3.0500946e-006            
3.3062622e-007  3.0504184e-006            
3.5007482e-007  3.050628e-006            
3.6952342e-007  3.05085e-006            
3.8897203e-007  3.0528362e-006            
4.0842063e-007  3.05294e-006            
4.2786923e-007  3.0456605e-006            
4.4731783e-007  3.0434985e-006            
4.6676643e-007  3.0439074e-006            
4.8621503e-007  3.0452056e-006            
5.0566363e-007  3.0464675e-006            
5.2511223e-007  3.0496915e-006            
5.4456084e-007  3.0495284e-006            
5.6400944e-007  3.0503548e-006            
5.8345804e-007  3.0515698e-006            
6.0290664e-007  3.0524287e-006            
6.2235524e-007  3.0535093e-006            
6.4180384e-007  3.055848e-006            
6.6125244e-007  3.0584649e-006            
6.8070105e-007  3.0612632e-006            
7.0014965e-007  3.0638606e-006            
7.1959825e-007  3.0657038e-006            
7.3904685e-007  3.0694322e-006            
7.5849545e-007  3.073303e-006            
7.7794405e-007  3.0751711e-006            
7.9739265e-007  3.0754919e-006            
8.1684125e-007  3.0758606e-006            
8.3628986e-007  3.0767414e-006            
8.5573846e-007  3.0780976e-006            
8.7518706e-007  3.0801099e-006            
8.9463566e-007  3.0824374e-006            
9.1408426e-007  3.0848653e-006            
9.3353286e-007  3.0863532e-006            
9.5298146e-007  3.0876756e-006            
9.7243006e-007  3.0886323e-006            
9.9187867e-007  3.0882129e-006            
1.0113273e-006  3.0876926e-006            
1.0307759e-006  3.0875181e-006            
1.0502245e-006  3.0865302e-006            
1.0696731e-006  3.0853072e-006            
1.0891217e-006  3.0856396e-006            
1.1085703e-006  3.0864481e-006            
1.1280189e-006  3.0870548e-006            
1.1474675e-006  3.0870307e-006            
1.1669161e-006  3.0867509e-006            
1.1863647e-006  3.0864874e-006            
1.2058133e-006  3.086444e-006            
1.2252619e-006  3.0850119e-006            
1.2447105e-006  3.0842458e-006            
1.2641591e-006  3.0842439e-006            
1.2836077e-006  3.0809605e-006            
1.3030563e-006  3.0785905e-006            
1.3225049e-006  3.0784724e-006            
1.3419535e-006  3.0785587e-006            
1.3614021e-006  3.0776344e-006            
1.3808507e-006  3.0749554e-006            
1.4002993e-006  3.0735902e-006            
1.4197479e-006  3.07156e-006            
1.4391965e-006  3.0697825e-006            
1.4586451e-006  3.0668244e-006            
1.4780937e-006  3.0635016e-006            
1.4975423e-006  3.0594978e-006            
1.5169909e-006  3.0571905e-006            
1.5364395e-006  3.055307e-006            
1.5558881e-006  3.0543758e-006            
1.5753367e-006  3.053236e-006            
1.5947853e-006  3.0522172e-006            
1.6142339e-006  3.0515328e-006            
1.6336825e-006  3.0511303e-006            
1.6531311e-006  3.0516511e-006            
1.6725797e-006  3.0489803e-006            
1.6920283e-006  3.0482957e-006            
1.7114769e-006  3.0484449e-006            
1.7309255e-006  3.0480541e-006            
1.7503741e-006  3.0481198e-006            
1.7698227e-006  3.04839e-006            
1.7892713e-006  3.0506354e-006            
1.8087199e-006  3.0481542e-006            
1.8281685e-006  3.0480761e-006            
1.8476171e-006  3.0481185e-006            
1.8670657e-006  3.0478088e-006            
1.8865143e-006  3.0478036e-006            
1.9059629e-006  3.0478731e-006            
1.9254115e-006  3.0476786e-006            
1.9448601e-006  3.0476595e-006            
1.9643087e-006  3.0475783e-006            
1.9837573e-006  3.0475881e-006            
