Profile 1             
x  y           
[m]     [m]         
0  2.4863324e-006            
1.9621025e-008  2.4863307e-006            
3.9242049e-008  2.4862734e-006            
5.8863074e-008  2.4866991e-006            
7.8484099e-008  2.4871737e-006            
9.8105123e-008  2.4886714e-006            
1.1772615e-007  2.4889454e-006            
1.3734717e-007  2.4895834e-006            
1.569682e-007  2.4903482e-006            
1.7658922e-007  2.4913814e-006            
1.9621025e-007  2.4929403e-006            
2.1583127e-007  2.49482e-006            
2.354523e-007  2.4946173e-006            
2.5507332e-007  2.4896825e-006            
2.7469435e-007  2.4833483e-006            
2.9431537e-007  2.4840311e-006            
3.1393639e-007  2.4851963e-006            
3.3355742e-007  2.4867258e-006            
3.5317844e-007  2.4891684e-006            
3.7279947e-007  2.4892732e-006            
3.9242049e-007  2.4897183e-006            
4.1204152e-007  2.4906656e-006            
4.3166254e-007  2.4928365e-006            
4.5128357e-007  2.4962203e-006            
4.7090459e-007  2.5005797e-006            
4.9052562e-007  2.5031607e-006            
5.1014664e-007  2.5061723e-006            
5.2976767e-007  2.5082336e-006            
5.4938869e-007  2.511474e-006            
5.6900972e-007  2.5138057e-006            
5.8863074e-007  2.5178942e-006            
6.0825176e-007  2.5217563e-006            
6.2787279e-007  2.525073e-006            
6.4749381e-007  2.5274647e-006            
6.6711484e-007  2.5274484e-006            
6.8673586e-007  2.5281914e-006            
7.0635689e-007  2.5289588e-006            
7.2597791e-007  2.5305983e-006            
7.4559894e-007  2.5321168e-006            
7.6521996e-007  2.5310783e-006            
7.8484099e-007  2.5331204e-006            
8.0446201e-007  2.5331223e-006            
8.2408304e-007  2.5322171e-006            
8.4370406e-007  2.5329019e-006            
8.6332509e-007  2.5332168e-006            
8.8294611e-007  2.5328769e-006            
9.0256714e-007  2.5335382e-006            
9.2218816e-007  2.5328337e-006            
9.4180918e-007  2.5296626e-006            
9.6143021e-007  2.5319032e-006            
9.8105123e-007  2.5317199e-006            
1.0006723e-006  2.5305923e-006            
1.0202933e-006  2.5286973e-006            
1.0399143e-006  2.5287468e-006            
1.0595353e-006  2.5295062e-006            
1.0791564e-006  2.5242359e-006            
1.0987774e-006  2.5265923e-006            
1.1183984e-006  2.5266474e-006            
1.1380194e-006  2.526914e-006            
1.1576405e-006  2.5225264e-006            
1.1772615e-006  2.520937e-006            
1.1968825e-006  2.5197611e-006            
1.2165035e-006  2.5169354e-006            
1.2361246e-006  2.5157441e-006            
1.2557456e-006  2.5133934e-006            
1.2753666e-006  2.5106909e-006            
1.2949876e-006  2.5055434e-006            
1.3146087e-006  2.4932778e-006            
1.3342297e-006  2.4922287e-006            
1.3538507e-006  2.4893354e-006            
1.3734717e-006  2.4859738e-006            
1.3930928e-006  2.4857441e-006            
1.4127138e-006  2.487368e-006            
1.4323348e-006  2.4942475e-006            
1.4519558e-006  2.494693e-006            
1.4715769e-006  2.4933052e-006            
1.4911979e-006  2.4925156e-006            
1.5108189e-006  2.491869e-006            
1.5304399e-006  2.4911124e-006            
1.5500609e-006  2.4922075e-006            
1.569682e-006  2.4907267e-006            
1.589303e-006  2.4898387e-006            
1.608924e-006  2.489493e-006            
1.628545e-006  2.4889781e-006            
1.6481661e-006  2.4891126e-006            
1.6677871e-006  2.4890979e-006            
1.6874081e-006  2.4893978e-006            
1.7070291e-006  2.4889833e-006            
1.7266502e-006  2.4889645e-006            
1.7462712e-006  2.4891598e-006            
1.7658922e-006  2.4889993e-006            
1.7855132e-006  2.4887581e-006            
1.8051343e-006  2.4890926e-006            
1.8247553e-006  2.4887977e-006            
1.8443763e-006  2.4887774e-006            
1.8639973e-006  2.48896e-006            
1.8836184e-006  2.4890002e-006            
1.9032394e-006  2.4886516e-006            
1.9228604e-006  2.48885e-006            
1.9424814e-006  2.4886661e-006            
1.9621025e-006  2.4886841e-006            
1.9817235e-006  2.4887218e-006            
