Profile 1             
x  y           
[m]     [m]         
0  3.3865106e-006            
1.9548781e-008  3.3864095e-006            
3.9097561e-008  3.3862734e-006            
5.8646342e-008  3.3867593e-006            
7.8195122e-008  3.3864183e-006            
9.7743903e-008  3.386421e-006            
1.1729268e-007  3.3862038e-006            
1.3684146e-007  3.3863343e-006            
1.5639024e-007  3.3867423e-006            
1.7593902e-007  3.386393e-006            
1.9548781e-007  3.3864878e-006            
2.1503659e-007  3.3868083e-006            
2.3458537e-007  3.3867333e-006            
2.5413415e-007  3.3869948e-006            
2.7368293e-007  3.3869293e-006            
2.9323171e-007  3.3860138e-006            
3.1278049e-007  3.386451e-006            
3.3232927e-007  3.3855467e-006            
3.5187805e-007  3.3858089e-006            
3.7142683e-007  3.3867196e-006            
3.9097561e-007  3.3875074e-006            
4.1052439e-007  3.3886723e-006            
4.3007317e-007  3.3897581e-006            
4.4962195e-007  3.3908911e-006            
4.6917073e-007  3.3917912e-006            
4.8871951e-007  3.3927839e-006            
5.0826829e-007  3.3934587e-006            
5.2781707e-007  3.3943088e-006            
5.4736585e-007  3.3956819e-006            
5.6691464e-007  3.396813e-006            
5.8646342e-007  3.398683e-006            
6.060122e-007  3.4009417e-006            
6.2556098e-007  3.4033834e-006            
6.4510976e-007  3.4055367e-006            
6.6465854e-007  3.4080085e-006            
6.8420732e-007  3.4103504e-006            
7.037561e-007  3.4124486e-006            
7.2330488e-007  3.4155133e-006            
7.4285366e-007  3.4172828e-006            
7.6240244e-007  3.4203026e-006            
7.8195122e-007  3.4220415e-006            
8.015e-007  3.423159e-006            
8.2104878e-007  3.4248746e-006            
8.4059756e-007  3.4294081e-006            
8.6014634e-007  3.4272324e-006            
8.7969512e-007  3.4277826e-006            
8.992439e-007  3.4289922e-006            
9.1879268e-007  3.4301474e-006            
9.3834147e-007  3.4304444e-006            
9.5789025e-007  3.4306831e-006            
9.7743903e-007  3.4328765e-006            
9.9698781e-007  3.4320857e-006            
1.0165366e-006  3.4310809e-006            
1.0360854e-006  3.4301621e-006            
1.0556341e-006  3.4296849e-006            
1.0751829e-006  3.4281176e-006            
1.0947317e-006  3.4289788e-006            
1.1142805e-006  3.4289337e-006            
1.1338293e-006  3.4279794e-006            
1.1533781e-006  3.4286331e-006            
1.1729268e-006  3.4281843e-006            
1.1924756e-006  3.4270194e-006            
1.2120244e-006  3.425213e-006            
1.2315732e-006  3.4237342e-006            
1.251122e-006  3.4225829e-006            
1.2706707e-006  3.423113e-006            
1.2902195e-006  3.4242348e-006            
1.3097683e-006  3.4222546e-006            
1.3293171e-006  3.4189399e-006            
1.3488659e-006  3.4174009e-006            
1.3684146e-006  3.4159201e-006            
1.3879634e-006  3.4145859e-006            
1.4075122e-006  3.4121102e-006            
1.427061e-006  3.4106743e-006            
1.4466098e-006  3.4068087e-006            
1.4661585e-006  3.4042911e-006            
1.4857073e-006  3.4011761e-006            
1.5052561e-006  3.3978839e-006            
1.5248049e-006  3.3946995e-006            
1.5443537e-006  3.3941482e-006            
1.5639024e-006  3.3930722e-006            
1.5834512e-006  3.3921523e-006            
1.603e-006  3.3914977e-006            
1.6225488e-006  3.3907723e-006            
1.6420976e-006  3.3998729e-006            
1.6616463e-006  3.3990901e-006            
1.6811951e-006  3.3891e-006            
1.7007439e-006  3.3886178e-006            
1.7202927e-006  3.3884194e-006            
1.7398415e-006  3.3883208e-006            
1.7593902e-006  3.3883219e-006            
1.778939e-006  3.3886165e-006            
1.7984878e-006  3.3885419e-006            
1.8180366e-006  3.3887445e-006            
1.8375854e-006  3.3885574e-006            
1.8571341e-006  3.3885082e-006            
1.8766829e-006  3.3885946e-006            
1.8962317e-006  3.3887142e-006            
1.9157805e-006  3.3885835e-006            
1.9353293e-006  3.3886298e-006            
1.9548781e-006  3.3886881e-006            
1.9744268e-006  3.3888964e-006            
1.9939756e-006  3.3887183e-006            
2.0135244e-006  3.3889249e-006            
