Profile 1             
x  y
[m]     [m]         
0  2.7509734e-006            
3.9145897e-009  2.7511151e-006            
7.8291794e-009  2.7511673e-006            
1.1743769e-008  2.7509817e-006            
1.5658359e-008  2.7510958e-006            
1.9572949e-008  2.7511229e-006            
2.3487538e-008  2.7511483e-006            
2.7402128e-008  2.7510201e-006            
3.1316718e-008  2.7512271e-006            
3.5231307e-008  2.7510871e-006            
3.9145897e-008  2.7510532e-006            
4.3060487e-008  2.75126e-006            
4.6975076e-008  2.7513315e-006            
5.0889666e-008  2.751283e-006            
5.4804256e-008  2.7513496e-006            
5.8718846e-008  2.7513843e-006            
6.2633435e-008  2.7511863e-006            
6.6548025e-008  2.7511304e-006            
7.0462615e-008  2.7511137e-006            
7.4377204e-008  2.7510481e-006            
7.8291794e-008  2.7509903e-006            
8.2206384e-008  2.7511891e-006            
8.6120974e-008  2.7511745e-006            
9.0035563e-008  2.7511404e-006            
9.3950153e-008  2.7512899e-006            
9.7864743e-008  2.7511663e-006            
1.0177933e-007  2.7510137e-006            
1.0569392e-007  2.7507865e-006            
1.0960851e-007  2.7506568e-006            
1.135231e-007  2.7504149e-006            
1.1743769e-007  2.7503062e-006            
1.2135228e-007  2.750327e-006            
1.2526687e-007  2.750128e-006            
1.2918146e-007  2.7499864e-006            
1.3309605e-007  2.7499042e-006            
1.3701064e-007  2.7497895e-006            
1.4092523e-007  2.7496047e-006            
1.4483982e-007  2.7495586e-006            
1.4875441e-007  2.7493984e-006            
1.52669e-007  2.7491726e-006            
1.5658359e-007  2.7491831e-006            
1.6049818e-007  2.7491967e-006            
1.6441277e-007  2.7489978e-006            
1.6832736e-007  2.7488369e-006            
1.7224195e-007  2.7488679e-006            
1.7615654e-007  2.7486932e-006            
1.8007113e-007  2.748505e-006            
1.8398572e-007  2.7483202e-006            
1.8790031e-007  2.7482715e-006            
1.918149e-007  2.7479137e-006            
1.9572949e-007  2.7478704e-006            
1.9964408e-007  2.7477766e-006            
2.0355866e-007  2.747562e-006            
2.0747325e-007  2.7473495e-006            
2.1138784e-007  2.747119e-006            
2.1530243e-007  2.7469789e-006            
2.1921702e-007  2.746674e-006            
2.2313161e-007  2.7464855e-006            
2.270462e-007  2.7464395e-006            
2.3096079e-007  2.7462059e-006            
2.3487538e-007  2.746025e-006            
2.3878997e-007  2.7459575e-006            
2.4270456e-007  2.7457668e-006            
2.4661915e-007  2.7456909e-006            
2.5053374e-007  2.7458588e-006            
2.5444833e-007  2.745779e-006            
2.5836292e-007  2.745646e-006            
2.6227751e-007  2.7456191e-006            
2.661921e-007  2.7455546e-006            
2.7010669e-007  2.7454061e-006            
2.7402128e-007  2.745357e-006            
2.7793587e-007  2.745451e-006            
2.8185046e-007  2.7453157e-006            
2.8576505e-007  2.7452889e-006            
2.8967964e-007  2.7452661e-006            
2.9359423e-007  2.7452964e-006            
2.9750882e-007  2.7452029e-006            
3.0142341e-007  2.7454085e-006            
3.05338e-007  2.7455889e-006            
3.0925259e-007  2.7456541e-006            
3.1316718e-007  2.7457762e-006            
3.1708177e-007  2.745982e-006            
3.2099636e-007  2.7461588e-006            
3.2491095e-007  2.746316e-006            
3.2882554e-007  2.7465183e-006            
3.3274013e-007  2.7465876e-006            
