Profile 1             
x  y
[m]     [m]         
0  2.5877987e-006            
3.9175002e-009  2.5877605e-006            
7.8350003e-009  2.5875491e-006            
1.17525e-008  2.5875641e-006            
1.5670001e-008  2.5878509e-006            
1.9587501e-008  2.5878787e-006            
2.3505001e-008  2.5879391e-006            
2.7422501e-008  2.5879193e-006            
3.1340001e-008  2.5878305e-006            
3.5257501e-008  2.5876716e-006            
3.9175002e-008  2.5877333e-006            
4.3092502e-008  2.5877222e-006            
4.7010002e-008  2.5876134e-006            
5.0927502e-008  2.5875804e-006            
5.4845002e-008  2.5876969e-006            
5.8762502e-008  2.5877134e-006            
6.2680002e-008  2.5877698e-006            
6.6597503e-008  2.588016e-006            
7.0515003e-008  2.5881209e-006            
7.4432503e-008  2.5878666e-006            
7.8350003e-008  2.5880234e-006            
8.2267503e-008  2.5879823e-006            
8.6185003e-008  2.5879953e-006            
9.0102504e-008  2.5878704e-006            
9.4020004e-008  2.5880954e-006            
9.7937504e-008  2.5881352e-006            
1.01855e-007  2.5881082e-006            
1.057725e-007  2.5882753e-006            
1.0969e-007  2.58813e-006            
1.136075e-007  2.5880787e-006            
1.17525e-007  2.5881087e-006            
1.214425e-007  2.5882606e-006            
1.2536e-007  2.5882637e-006            
1.2927751e-007  2.5883474e-006            
1.3319501e-007  2.5884877e-006            
1.3711251e-007  2.5885179e-006            
1.4103001e-007  2.5884455e-006            
1.4494751e-007  2.5884414e-006            
1.4886501e-007  2.5886223e-006            
1.5278251e-007  2.5886693e-006            
1.5670001e-007  2.5887638e-006            
1.6061751e-007  2.5888532e-006            
1.6453501e-007  2.5889043e-006            
1.6845251e-007  2.588763e-006            
1.7237001e-007  2.5886264e-006            
1.7628751e-007  2.5888897e-006            
1.8020501e-007  2.5888709e-006            
1.8412251e-007  2.5889829e-006            
1.8804001e-007  2.5889781e-006            
1.9195751e-007  2.5887874e-006            
1.9587501e-007  2.588659e-006            
1.9979251e-007  2.5885571e-006            
2.0371001e-007  2.5885791e-006            
2.0762751e-007  2.5885155e-006            
2.1154501e-007  2.5886447e-006            
2.1546251e-007  2.5885738e-006            
2.1938001e-007  2.5886778e-006            
2.2329751e-007  2.5888116e-006            
2.2721501e-007  2.5888836e-006            
2.3113251e-007  2.5889438e-006            
2.3505001e-007  2.5890719e-006            
2.3896751e-007  2.5893618e-006            
2.4288501e-007  2.5893634e-006            
2.4680251e-007  2.5894127e-006            
2.5072001e-007  2.5893122e-006            
2.5463751e-007  2.5893818e-006            
2.5855501e-007  2.5894475e-006            
2.6247251e-007  2.5895587e-006            
2.6639001e-007  2.5898101e-006            
2.7030751e-007  2.589895e-006            
2.7422501e-007  2.5899731e-006            
2.7814251e-007  2.5900677e-006            
2.8206001e-007  2.5902459e-006            
2.8597751e-007  2.5904009e-006            
2.8989501e-007  2.5905884e-006            
2.9381251e-007  2.5906524e-006            
2.9773001e-007  2.5908044e-006            
3.0164751e-007  2.5910385e-006            
3.0556501e-007  2.5912028e-006            
3.0948251e-007  2.5912644e-006            
3.1340001e-007  2.5912342e-006            
3.1731751e-007  2.5912699e-006            
3.2123501e-007  2.5911413e-006            
3.2515251e-007  2.5911384e-006            
3.2907001e-007  2.5909546e-006            
3.3298751e-007  2.5909026e-006            
3.3690501e-007  2.5908533e-006            
3.4082251e-007  2.5906386e-006            
3.4474001e-007  2.5906132e-006            
3.4865751e-007  2.5905949e-006            
3.5257501e-007  2.5906248e-006            
3.5649251e-007  2.5903814e-006            
3.6041001e-007  2.5901732e-006            
3.6432751e-007  2.5900193e-006            
3.6824501e-007  2.5899345e-006            
3.7216251e-007  2.5898091e-006            
