,$w_d$,R,$w_{re}$,$l_{re}$,THK,$R_s$,$\rho$,T_C
2e-07,2e-07,,,,1.78e-08,,,0.0
5e-07,5e-07,,,,,,,0.0
1e-06,1e-06,52.8,1.51e-06,1.79e-05,4e-08,4.45,1.7816e-07,0.0
2e-06,2e-06,18.0,3.06e-06,1.22e-05,4.8e-08,4.51,2.1671e-07,0.0
5e-06,5e-06,5.78,,,5.5e-08,,,0.0
1e-05,1e-05,2.86,1.23e-05,1.19e-05,5.6e-08,2.96,1.6554e-07,0.0
5e-07,5e-07,,,,2.3e-08,,,0.0
1e-06,1e-06,,,,4.4e-08,,,0.0
1e-05,1e-05,2.88,1.24e-05,1.2e-05,5.26e-08,2.98,1.5654e-07,0.0
1e-06,1e-06,72.0,9.97e-07,1.6e-05,4e-08,4.49,1.7964e-07,0.0
2e-07,2e-07,1750.0,3.7e-07,1.63e-05,1.78e-08,39.72,7.0709e-07,0.0
5e-07,5e-07,,,,,,,0.0
1e-06,1e-06,54.5,1.51e-06,1.58e-05,4e-08,5.21,2.0834e-07,0.0
2e-06,2e-06,18.0,2.95e-06,1.23e-05,4.8e-08,4.31,2.0722e-07,0.0
5e-06,5e-06,5.77,7.05e-06,1.18e-05,5.5e-08,3.44,1.896e-07,0.0
1e-05,1e-05,2.9,1.23e-05,1.23e-05,5.6e-08,2.9,1.624e-07,0.0
5e-07,5e-07,1050.0,4.66e-07,1.64e-05,2.3e-08,29.83,6.8621e-07,0.0
1e-06,1e-06,53.7,1.48e-06,1.59e-05,4.4e-08,4.998,2.1993e-07,0.0
1e-05,1e-05,2.91,1.21e-05,1.19e-05,5.26e-08,2.959,1.5564e-07,0.0
1e-06,1e-06,159.0,,,,,,0.0
