Date: Wed, Feb 20, 2019 11:21 PM; User: wsLu; Sample: BOJCN7_IVf80mK_n97dBm

Force G mode: 3694_MWf
Force S mode: AWG:IDC
Force S Rser (Max I): 100Mohm - 20nA
Attenuation: 1.000000E+0; Gain: 100; offest V (V): 0.000000E+0; I bias (A): 1.000000E-10
Coil range (A): 2.000000E-3; Coil factor (G/A): 580
Sense mode: HP:IDC/DL1201; DUT Z setting: >10Gohm
tf stb (ms): 500; ts itr (ms): 10; #s itr: 1

SetpG file: \\JOSH-PC\OurData\wsLu\RawData\DC\setpt\PTGI3d1622GHz-3d1622GHzS500K_41d.txt
SetpS file: \\JOSH-PC\OurData\wsLu\RawData\DC\setpt\IVnA15nA-P15nS200p_77p.txt

Note:
1. Pin assignment: 2ab,1ab
2. HP34401 fast 6 digit
3. DL1201 preamp, HPF DC, LPF 3Hz; DC coupled, bat power


!DATASTR!
Time	T1	T2	T5	T6	T8	IG	IS	V1	SD1	V2	SD2	Rcali
(min)	(K)	(K)	(K)	(K)	(K)	(A)	(A)	(V)	(V)	(V)	(V)	(ohm)
1.90844E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	8.08706E-2	3.15000E+0	0.00000E+0	-7.48997E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
5.21697E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	8.04216E-2	3.15000E+0	4.00000E-10	-7.48965E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
7.01540E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	8.05121E-2	3.15000E+0	8.00000E-10	-7.48804E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
8.84384E-2	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	8.07627E-2	3.15000E+0	1.20000E-9	-7.48770E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.06789E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	8.11276E-2	3.15000E+0	1.60000E-9	-7.48578E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.25941E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	8.00090E-2	3.15000E+0	2.00000E-9	-7.48421E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.44042E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	8.04274E-2	3.15000E+0	2.40000E-9	-7.48197E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.62209E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	8.07754E-2	3.15000E+0	2.80000E-9	-7.47888E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
1.80694E-1	-1.00000E+0	-1.00000E+0	-1.00000E+0	-1.00000E+0	8.03310E-2	3.15000E+0	3.20000E-9	-7.47770E-4	NaN	-1.00000E+0	-1.00000E+0	-1.00000E+0
